Case Name,Filing Year,Description,Case Categories,Principal Laws
"Roe v. Arch Coal, Inc.",2015,Action alleging that coal company breached fiduciary duties in connection with employee pension plans by retaining stock in company.,Securities and Financial Regulation,Employee Retirement Income Security Act of 1974 (ERISA)
American Tradition Institute v. Rector &amp; Visitors of University of Virginia,2011,Lawsuit seeking former University of Virginia professor's emails concerning climate change work.,State Law Claims>Freedom of Information/Public Records|Climate Change Protesters and Scientists>Scientists,State Law—Freedom of Information Laws
American Tradition Institute v. NASA,2011,Lawsuit seeking records of James Hansen pertaining to his outside employment and revenue generation.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests|Climate Change Protesters and Scientists>Scientists,Freedom of Information Act (FOIA)
"Shell Offshore, Inc. v. Greenpeace, Inc.",2012,Oil company lawsuit seeking to bar environmental activists from occupying its drilling ship bound for Arctic.,Climate Change Protesters and Scientists>Protesters,State Law—Nuisance|Maritime Law—Trespass|State Law—Trespass|Maritime Law—Nuisance|Maritime Law—Tortious Interference|State Law—Conversion|Maritime Law—Intentional Interference with Maritime Navigation|Outer Continental Shelf Lands Act (OCSLA)
"Stein v. Kyocera Mita America, Inc.",2012,Action by actor Ben Stein alleging that a Japanese company unlawfully fired him for his views about climate change.,Climate Change Protesters and Scientists>Protesters,First Amendment|Contract Law
"Dominion Cove Point LNG, L.P. v. Sierra Club",2011,"Action seeking declaratory judgment that Sierra Club’s effort to block conversion of LNG terminal into export facility had no basis under a 2005 agreement.
",State Law Claims>Industry Lawsuits,Contract Law
"Shell Gulf of Mexico, Inc. v. Center for Biological Diversity",2012,Action by oil company seeking declaration that government agencies properly issued it an “incidental harassment authorization” to drill in the Arctic.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Marine Mammal Protection Act (MMPA)
"Shell Gulf of Mexico Inc. v. Center for Biological Diversity, Inc.",2012,Oil company action seeking declaration that government agency properly approved its oil spill response plans for drilling in the Arctic.,Federal Statutory Claims>Other Statutes and Regulations,Administrative Procedure Act (APA)|Oil Pollution Act
Sierra Club v. 22nd District Agricultural Association,2011,Challenge to EIS for renovation of fairgrounds.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Habitat and Watershed Caretakers v. City of Santa Cruz,2010,"Challenge to environmental impact report to allow city to provide water and sewer service to new development.
",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Lewis v. McCarthy,2015,"Challenge to EPA’s determination that it had completed the Clean Air Act’s requirement that it promulgate emissions standards for hazardous air pollutant source categories.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Montana Environmental Information Center v. U.S. Office of Surface Mining,2015,"Challenge to federal approvals for expansion of coal mine in central Montana.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
North Coast Rivers Alliance v. Marin Municipal Water District Board of Directors,2009,"Challenge to desalination facility.
",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Helping Hand Tools v. EPA,2014,"Challenge to PSD permit for biomass-burning power plant at California lumber yard.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
WildEarth Guardians v. U.S. Department of Interior,2014,"Challenge to critical habitat designation for Canadian lynx.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Alliance for the Wild Rockies v. Lyder,2009,Challenge to designation of critical habitat for Canada lynx.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Citizens Against Airport Pollution v. City of San Jose,2010,"Challenge to amendment to airport master plan.
",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"Oceana, Inc. v. Ross",2015,"Challenge to biological opinion for continued operation of shrimp trawl fisheries.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Zinke,2015,"Challenge to determination not to list distinct population segment of Arctic grayling as endangered or threatened.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Public Service Co. of Colorado v. City of Boulder,2014,"Challenge to City of Boulder ordinances that took steps to implement creation of new municipal utility.
",State Law Claims>Utility Regulation,State Law—Utilities Laws|Local Laws
People v. Southern California Gas Co.,2016,"Criminal charges in connection with leak at natural gas storage facility in southern California.
",State Law Claims>Enforcement Cases,State Law—Criminal Law|State Law—Environmental Laws
In re Arizona Public Service Co. Ocotillo Power Plant,2016,"Challenge to PSD permits for new natural gas-fired turbines.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Sierra Club v. Federal Energy Regulatory Commission,2016,"Challenge to FERC approvals for natural gas pipeline from Alabama to Florida.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Gulf Restoration Network v. U.S. Army Corps of Engineers,2016,"Challenge to Clean Water Act permit for natural gas pipeline from Alabama to Florida.
",Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)
Constitution Pipeline Co. v. Seggos,2016,"Challenge to denial of water quality certification for natural gas pipeline from Pennsylvania to New York.
",Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>Other Statutes and Regulations,Clean Water Act (CWA)|Energy Policy Act of 2005|Natural Gas Act
Energy &amp; Environmental Legal Institute v. Attorney General of Vermont,2016,"Action to compel the Vermont attorney general to respond to request for documents related to common interest agreement between states.
",State Law Claims>Freedom of Information/Public Records|State Law Claims>Industry Lawsuits,State Law—Freedom of Information Laws
"In re Tesla Motors, Inc. Stockholder Litigation",2016,"Claims against proposed acquisition of SolarCity Corporation by Tesla Motors, Inc.
",Securities and Financial Regulation,State Law—Common Law
"Zangara Dodge, Inc. v. Curry",2007,Challenge to vehicle emission standards adopted by New Mexico and the Albuquerque-Bernalillo County Air Quality Control Board.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,Clean Air Act (CAA)|Energy Policy and Conservation Act (EPCA)|Energy Independence and Security Act (EISA)
Center for Biological Diversity v. Kempthorne,2008,Challenge to failure to list the American pika as threatened under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. California Fish &amp; Game Commission,2008,Challenge to denial of petition to list American pika as threatened under California's endangered species act.,State Law Claims>Environmentalist Lawsuits,California Endangered Species Act
Center for Biological Diversity v. California Fish &amp; Game Commission,2009,Challenge to denial by state agency to list American pika as “threatened” species under California Endangered Species Act,State Law Claims>Environmentalist Lawsuits,California Endangered Species Act
"Greater Yellowstone Coalition, Inc. v. Servheen",2007,"Action challenging decision to remove threatened-status protection for grizzly bears in Yellowstone.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2008,"Challenge to Fish and Wildlife Service failure to respond to petition requesting listing of Pacific walrus as threatened or endangered under the Endangered Species Act.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Kempthorne,2008,Challenge to rule authorizing “incidental take” of polar bears and Pacific walruses in connection with oil and gas development.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Marine Mammal Protection Act (MMPA)
Center for Biological Diversity v. Hall,2008,"Action seeking to compel decision on petition to list 12 penguin species as endangered.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Salazar,2010,"Action to force U.S. government to complete Endangered Species Act listing process for seven penguin species.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Locke,2009,"Challenge to government’s alleged failure to designate critical habitat for endangered turtle species.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Sierra Club v. U.S. Fish &amp; Wildlife Service,2013,"Challenge to Fish and Wildlife Service response to petition to revise critical habitat for leatherback sea turtles.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Alaska Oil &amp; Gas Association v. Pritzker,2013,"Challenge to designation of distinct population segments of bearded seals as threatened.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Mann v. Competitive Enterprise Institute,2012,Defamation action brought by climate scientist against authors and publishers of articles about scientist's work.,Climate Change Protesters and Scientists>Scientists,State Law—Defamation|State Law—Tort Law
Competitive Enterprise Institute v. United States Department of State,2016,Action to compel disclosure of documents related to United States' international climate negotiations.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Coalition for Competitive Electricity v. Zibelman,2016,"Challenge to component of New York Clean Energy Standard that provided payments to certain nuclear facilities providing ""zero-emission"" power.",Constitutional Claims>Commerce Clause|Constitutional Claims>Other Constitutional Claims,Commerce Clause|Supremacy Clause
Richardson v. Herring,2016,Action to compel Virginia attorney general records regarding state climate change investigations.,State Law Claims>Industry Lawsuits,State Law—Freedom of Information Laws
Sierra Club v. United States Department of Energy,2016,Challenge to U.S. Department of Energy's approval of three applications to export liquefied natural gas from a Louisiana facility.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Natural Gas Act
Sierra Club v. United States Department of Energy,2016,"Challenge to U.S. Department of Energy approval of application to export liquefied natural gas from facility in Corpus Christi, Texas.",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Natural Gas Act
People ex rel. California Air Resources Board v. Paramount Petroleum Corp.,2016,State enforcement action seeking civil penalties for alleged violations of Low Carbon Fuel Standard by transportation fuels provider.,State Law Claims>Enforcement Cases,California Global Warming Solutions Act (AB 32)
Biogenic CO2 Coalition v. EPA,2016,Challenge to EPA's endangerment finding for greenhouse gas emissions from commercial aircraft.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Endangerment Findings,Clean Air Act (CAA)
Sierra Club v. Federal Energy Regulatory Commission,2015,"Challenge to FERC approvals of liquefied natural gas facilities in Texas.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Wild Fish Conservancy v. Irving,2014,Challenge to biological opinion for fish hatchery.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
National Waste &amp; Recycling Association v. EPA,2016,Challenge to emission guidelines for municipal solid waste landfills.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,Clean Air Act (CAA)
Fentress v. Exxon Mobil Corp.,2016,Class action lawsuit on behalf of Exxon Mobil Corporation (Exxon) employees alleging that Exxon defendants' failure to disclose climate change information violated fiduciary duties under Employee Retirement Income Security Act.,Securities and Financial Regulation,Employee Retirement Income Security Act of 1974 (ERISA)
Ramirez v. Exxon Mobil Corp.,2016,Securities fraud class action against Exxon Mobil Corporation (Exxon) alleging that Exxon failed to disclose climate risks.,Securities and Financial Regulation,Securities Act of 1933/Securities Exchange Act of 1934
Wyoming v. United States Department of Interior,2016,Challenge to United States Bureau of Land Management’s final rule concerning methane emissions from oil and gas operations on federal and tribal lands.,Federal Statutory Claims>Other Statutes and Regulations,Clean Air Act (CAA)|Mineral Leasing Act (MLA)|Federal Land Policy and Management Act (FLPMA)|Supremacy Clause|Federal Oil and Gas Royalty Management Act
"Hudson River Sloop Clearwater, Inc. v. New York State Public Service Commission",2016,Challenge to the portion of New York's Clean Energy Standard that provides payments to certain nuclear power facilities.,State Law Claims>Utility Regulation,New York State Environmental Quality Review Act (SEQRA)
People of State of New York v. PricewaterhouseCoopers LLP,2016,Action by New York Attorney General to compel compliance with subpoenas issued in its investigation of Exxon Mobil Corporation's climate change disclosures.,Securities and Financial Regulation,New York Martin Act
Oregon Wild v. Connaughton,2012,"Challenge to environmental review for expansion of ski area in Oregon based on failure to conduct supplemental review based on new information, including new climate information.",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
United States v. Ruffatto,2016,Criminal action against company owner who used federal funds awarded for carbon sequestration study for personal use.,Federal Statutory Claims>Other Statutes and Regulations,American Recovery and Reinvestment Act of 2009|Federal Criminal Law
Minnesota Automobile Dealers Association v. Stine,2015,Challenge to Minnesota's requirement that diesel fuel sold in the state contain a certain percentage of biodiesel.,Constitutional Claims>Other Constitutional Claims,Clean Air Act (CAA)|Supremacy Clause
Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2016,Challenge to withdrawal of proposed designation of the Pacific fisher as a threatened species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Avista Corp. v. Bellon,2016,Challenge by utilities and local distribution company to greenhouse gas regulations adopted by Washington Department of Ecology.,Constitutional Claims>Commerce Clause,Commerce Clause
Association of Washington Business v. Washington State Department of Ecology,2016,Challenge by business and trade groups to greenhouse gas regulations adopted by the Washington Department of Ecology.,State Law Claims>Industry Lawsuits|State Law Claims>State Impact Assessment Laws,Washington State Environmental Policy Act|State Law—Miscellaneous Statutes>Washington Regulatory Fairness Act|State Constitutions>Washington State Constitution|State Law—Miscellaneous Statutes>Washington Administrative Procedure Act
Goldstein v. Climate Action Network,2016,Lawsuit asserting Racketeer Influenced and Corrupt Organizations Act claims against environmental organizations alleging that false claims regarding anthropogenic carbon emissions' connection to climate change amounted to a criminal scheme.,Climate Change Protesters and Scientists>Scientists|Federal Statutory Claims>Other Statutes and Regulations,Racketeer Influenced and Corruption Organizations Act (RICO)
Energy &amp; Environment Legal Institute v. Attorney General of New York,2016,Proceeding to compel New York attorney general to release certain correspondence regarding climate change-related investigations.,State Law Claims>Freedom of Information/Public Records,State Law—Freedom of Information Laws
American Bird Conservancy v. Disbrow,2017,"Challenge by two bird conservation groups to a wind turbine project sponsored by the Ohio Air National Guard at Camp Perry in Ottawa County, Ohio.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Migratory Bird Treaty Act|Bald and Golden Eagle Protection Act
State of New Mexico ex rel. Hanosh v. State of New Mexico ex rel. King,2007,"Challenge to state environmental board’s authority to implement emission laws for cars sold in New Mexico.
",State Law Claims>Industry Lawsuits,State Law—Air Statutes
Association of Taxicab Operators USA v. City of Dallas,2010,Challenge to Dallas ordinance giving preference to taxis that run on compressed natural gas.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,Clean Air Act (CAA)
American Chemistry Council v. EPA,2009,Challenge to EPA’s reporting rule for greenhouse gas sources.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,Clean Air Act (CAA)
Gas Processors Association v. EPA,2011,"Challenges to EPA rules requiring oil and natural gas companies to report greenhouse gas emissions.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,Clean Air Act (CAA)
Semiconductor Industry Association v. EPA,2011,"Challenge to EPA reporting rule for sources of fluorinated greenhouse gases.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,Clean Air Act (CAA)
"Waste Management, Inc. v. EPA",2014,Challenge to amendment of greenhouse gas reporting rule.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,Clean Air Act (CAA)
American Petroleum Institute v. EPA,2015,"Challenge to revisions to greenhouse gas reporting rule that changed requirements for the petroleum and natural gas systems source category.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,Clean Air Act (CAA)
Chamber of Commerce of the United States of America v. EPA,2009,"Challenge to EPA’s approval of California waiver for vehicle emission standards.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,Clean Air Act (CAA)
"Plant Oil Powered Diesel Fuel Systems, Inc. v. U.S. Department of Transportation",2012,Challenge to fuel economy and greenhouse gas emission standards for cars and light-duty trucks.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards,Clean Air Act (CAA)
Utility Air Regulatory Group v. EPA,2012,Challenge to fuel economy and greenhouse gas emission standards for cars and light-duty trucks.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards,Clean Air Act (CAA)
Texas v. EPA,2010,"Challenge to EPA rules imposing federal greenhouse gas permitting requirements.

",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>PSD Program,Clean Air Act (CAA)
"Monroe Energy, LLC v. EPA",2013,Challenge to EPA’s final rule setting the 2013 renewable fuel standards.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)|Energy Independence and Security Act (EISA)
"Monroe Energy, LLC v. EPA",2013,"Challenge to EPA’s cellulosic biofuel standard for 2013.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)|Energy Independence and Security Act (EISA)
"Monroe Energy, LLC v. EPA",2014,"Challenge to the provision in EPA’s 2010 renewable fuel standard rule that imposes compliance obligations on refiners and importers.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)
Carbon Sequestration Council v. EPA,2014,Challenge to EPA’s conditional exclusion from RCRA’s hazardous waste definition for carbon dioxide streams injected into Underground Injection Control Class VI wells.,Federal Statutory Claims>Other Statutes and Regulations,Resource Conservation and Recovery Act (RCRA)
"Plant Oil Powered Diesel Fuel Systems, Inc. v. EPA",2015,"Challenge to delay in promulgating final 2014 standards for the Renewable Fuel Standard program.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)
American Fuel &amp; Petrochemical Manufacturers v. McCarthy,2015,"Action to compel EPA to establish renewable fuel volume requirements for the 2014 and 2015 compliance years.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)
In re Quantification of Environmental Costs,1997,"Lawsuit seeking review of Minnesota Public Utility Commission's decision setting environmental cost values for carbon dioxide.
",State Law Claims>Utility Regulation,State Law—Utilities Laws
Alliance of Automobile Manufacturers v. Sheehan,2005,"Challenge to New York’s decision that no environmental impact statement was required before adopting California’s greenhouse gas emission standards for vehicles.
",State Law Claims>Industry Lawsuits,New York State Environmental Quality Review Act (SEQRA)
Tesoro Refining &amp; Marketing Co. v. California Air Resources Board,2008,"Challenge to state rule requiring oil refiners to increase corn-based ethanol in gasoline, alleging, among other things, that ethanol production would result in increased greenhouse gas emissions.
",State Law Claims>Industry Lawsuits,State Law—Air Statutes
"New Energy Economy, Inc. v. Martinez",2011,Petition to compel the State to publish greenhouse gas regulations in State Register.,State Law Claims>Environmentalist Lawsuits,State Law—Miscellaneous Statutes|State Law—Air Statutes
Exxon Mobil Corp. v. Office of the Attorney General,2016,Action by ExxonMobil Corporation to set aside civil investigative demand issued by Massachusetts attorney general under consumer protection statute seeking information on Exxon's knowledge and disclosure of climate change-related risks.,State Law Claims>Enforcement Cases|Securities and Financial Regulation,State Law—Miscellaneous Statutes>Massachusetts Consumer Protection Act
Schmid v. Sonoma Clean Power,2014,"Challenge to automatic enrollment procedures for alternative, cleaner-energy electricity service provider.",Constitutional Claims>First Amendment|Constitutional Claims>Fourteenth Amendment,First Amendment|Fourteenth Amendment|State Law—Utilities Laws
National Biodiesel Board v. EPA,2015,Challenge to EPA approval of alternative procedures for Argentine biofuel producers compliance with land use requirements of the Renewable Fuel Standard.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)|Energy Independence and Security Act (EISA)|Energy Policy Act of 2005
Western Organization of Resource Councils v. U.S. Bureau of Land Management,2016,Challenge to resource management plans for areas in Montana and Wyoming in the Powder River Basin.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Friends of the Wild Swan v. Thorson,2016,Challenge to recovery plan for the coterminous United States population of bull trout. ,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
People of New York v. Bucci,2013,Charges of disorderly conduct against pipeline protesters who asserted a justification defense.,Climate Change Protesters and Scientists>Protesters,State Law—Criminal Law|Necessity/Justification Defense
Murphy v. Zoning Board of City of Stamford,2014,Challenge to changes to the definition of building height in zoning regulations for areas within the City of Stamford's Coastal Boundary.,Adaptation>Challenges to adaptation measures,State Law—Land Use Laws>Local Zoning Codes
"Natural Resources Defense Council, Inc. v. Wheeler",2020,Challenge to revisions to the Refrigerant Management Program’s 2016 extension to substitute refrigerants (originally consolidated with industry challenge to 2016 rule (Nos. 17-1016 and 17-1017)).,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
"Truck Trailer Manufacturers Association, Inc. v. EPA",2016,Challenge to greenhouse gas emissions and fuel efficiency standards for medium- and heavy-duty engines and vehicles.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards,Clean Air Act (CAA)|Energy Independence and Security Act (EISA)
Columbia Pacific Building Trades Council v. City of Portland,2017,Challenge to Portland zoning amendments restricting fossil fuel terminals.,State Law Claims>Industry Lawsuits|Constitutional Claims>Commerce Clause,Commerce Clause|State Law—Land Use Laws>Local Zoning Codes
"Kane County, Utah v. Jewell",2016,Challenge by rural Utah counties to moratorium on federal coal leasing.,Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Mineral Leasing Act (MLA)
Cleveland National Forest Foundation v. County of San Diego,2017,Challenge to the Forest Conservation Initiative Amendment to the San Diego County general plan.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)|State Law—Land Use Laws>California Planning and Zoning Law
Sierra Club v. County of San Diego,2017,Challenge to the Forest Conservation Initiative Amendment to the San Diego County general plan.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"Citizens for the Regents Road Bridge, Inc. v. City of San Diego",2017,Challenge to City of San Diego’s removal of a bridge project from a community plan.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Mission Hills Heritage v. City of San Diego,2017,Challenge to the City of San Diego’s approval of a community plan update.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Gonzalez v. City of San Diego,2016,Challenge to the City of San Diego’s approval of two development projects—a 60-story mixed-use building and a 20-story hotel tower.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"Comer v. Murphy Oil USA, Inc.",2005,"Action seeking damages related to Hurricane Katrina under tort law theories.
",Adaptation>Actions seeking money damages for losses|Common Law Claims,State Law—Nuisance|State Law—Negligence|State Law—Tort Law|State Law—Trespass
Seeds of Peace Collective v. City of Pittsburgh,2009,"Action alleging that city interfered with right to assemble during coal conference.
",Climate Change Protesters and Scientists>Protesters,First Amendment|Fourth Amendment
"TransCanada Keystone Pipeline, LP v. Beebe",2012,"Lawsuit seeking injunction against protesters concerning construction of oil pipeline.
",Climate Change Protesters and Scientists>Protesters,State Law—Tort Law|State Law—Trespass
Center for Biological Diversity v. EPA,2009,Rulemaking petition and related litigation requesting that EPA revise pH water quality criteria to address ocean acidification.,Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)
Columbia Riverkeeper v. Wheeler,2017,Lawsuit alleging that EPA violated the Clean Water Act by failing to issue a total maximum daily load (TMDL) for temperature pollution in the Columbia and Snake Rivers in Oregon and Washington.,Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)|Administrative Procedure Act (APA)
Friends of Animals v. Phifer,2015,Challenge to incidental take permit allowing incidental takes of Canada lynx in connection with state-regulated trapping programs in Maine.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
State v. Ward,2016,Criminal action against protester who turned off valve on oil pipeline in Washington.,Climate Change Protesters and Scientists>Protesters,State Law—Criminal Law|Necessity/Justification Defense
"Coffeyville Resources Refining &amp; Marketing, LLC v. EPA",2017,Challenge to EPA’s final Renewable Fuel Standards for 2017 and Biomass-Based Diesel Volume for 2018.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)
Energy &amp; Environment Legal Institute v. United States Department of State,2017,Action to compel disclosure of State Department communications regarding climate change negotiations with China,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Electric Power Supply Association v. Star,2017,Challenge to Illinois law that created a Zero Emissions Credit program allegedly to support uneconomic nuclear plants.,Constitutional Claims>Commerce Clause|Constitutional Claims>Other Constitutional Claims,Fifth Amendment—Equal Protection|Commerce Clause|Supremacy Clause|State Law—Miscellaneous Statutes>Illinois Future Energy Jobs Act
Center for Biological Diversity v. EPA,2017,Action to compel EPA to respond to petition seeking objection to Title V permit for natural gas plant in California.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
"Public Citizen, Inc. v. Trump",2017,Challenge to President Trump's executive order on “Reducing Regulation and Controlling Regulatory Costs” as well as interim guidance for the order’s implementation.,Constitutional Claims>Other Constitutional Claims,Administrative Procedure Act (APA)|Take Care Clause|Separation of Powers Doctrine
Holmquist v. United States,2017,Challenge to Interstate Commerce Commission Termination Act of 1995 preemption of local prohibitions on rail transportation of fossil fuels. ,Constitutional Claims>Other Constitutional Claims|Federal Statutory Claims>Other Statutes and Regulations,Ninth Amendment|State Constitutions>Washington State Constitution|Interstate Commerce Commission Termination Act of 1995 (ICCTA)
Center for Media &amp; Democracy v. Hunter,2017,Action to compel response by Oklahoma attorney general to Open Records Act request for documents regarding industry ties of attorney general Scott Pruitt.,State Law Claims>Freedom of Information/Public Records,Oklahoma Open Records Act
Allegheny Defense Project v. Federal Energy Regulatory Commission,2017,Challenge to FERC approval of the Atlantic Sunrise natural gas pipeline expansion project in Pennsylvania and other locations on East Coast.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Natural Gas Act
Sierra Club v. EPA,2013,Challenge to EPA’s decision to extend the deadline in a PSD permit for commencing construction where permit was challenged in separate proceeding for failure to include greenhouse gas controls.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Sierra Club v. EPA,2011,"Challenge to EPA’s decision to issue PSD permit to gas-fired power plant in California without requiring greenhouse gas controls.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Save Panoche Valley v. San Benito County,2010,"Challenge to solar power development project in California.
",State Law Claims>Environmentalist Lawsuits,State Law—Miscellaneous Statutes>California Williamson Act
In re Energy Answers Arecibo LLC,2013,"Challenge to PSD permit issued by EPA Region 2 for resource recovery facility.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Clean Energy Fuels Corp. v. California Public Utilities Commission,2013,"Challenge to CPUC approval of tariff to fund construction and operation of natural gas compression equipment at customer sites.
",State Law Claims>Utility Regulation,State Law—Utilities Laws|California Public Utilities Code
Center for Biological Diversity v. Kempthorne,2007,"Challenge to U.S. Fish and Wildlife Service rule that authorized “incidental take” of polar bears and Pacific walruses from oil and gas activities in and along the Beaufort Sea.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,National Environmental Policy Act (NEPA)|Marine Mammal Protection Act (MMPA)
Blades v. California,2011,"Action seeking declaration that atmosphere is a public trust resources that the State of California has an obligation to protect for its current and future citizens, including by imposing restrictions on greenhouse gas restrictions.",Public Trust Claims,Public Trust Doctrine
