Id,Title,Geography,Geography ISO,Jurisdiction,Citation Reference Number,Responses,At issue,Connected Internal Laws,Connected External Laws,Sectors,Side A,Side B,Side C,Events,Summary
7030,"Gippsland Coastal Board v. South Gippsland Shire Council (Victorian Civil and Administrative Tribunal, 2008)",Australia,AUS,Australia,[2008] VCAT 1545,Adaptation,Challenge to local council grant of residential development consent,"","",Residential and Commercial,Gippsland Coastal Board|government,South Gippsland Shire Council|government,"",25/12/2008|Case opened,"An Australian tribunal overturned a local council decision granting consent for residential developments in a coastal region.  A regional coastal board, set up under the Victorian Coastal Management Act 1995, challenged the council decision, arguing that the proposed developments were inappropriate in light of projected sea level rises as a result of climate change.  The tribunal applied the precautionary principle, finding that sea level rise and more extreme weather conditions resulting from climate change presented a reasonably foreseeable risk of inundation of the site, and determined that development consent should not be granted."
7031,"Gray v. Minister for Planning (Land and Environment Court of New South Wales, 2006)",Australia,AUS,Australia,[2006] NSWLEC 720,Mitigation,Challenge to the adequacy of an environmental impact statement prepared for a large coal mine,"","",Energy,Gray|individual,Minister for Planning|government,"",01/01/2006|Case opened||;26/11/2006|Decision||,"This case dealt with a challenge to the Minister’s approval of an Environmental Assessment (EA) of the proposed Anvil Hill Project coal mine, which was expected to produce about 10.5 million tons of thermal coal for domestic and foreign power plants annually for 21 years. That EA considered the mine’s expected Scope 1 and 2 greenhouse gas emissions, but not its Scope 3 emissions. The court declared that approval void on the grounds that it was at odds with the language of the Environmental Planning and Assessment Act (NSW) 1979 and with the principles of precaution and intergenerational equity—“the environmental assessment must be broad, as a matter of law.” These, contrary to the Minister’s view, warranted consideration of Scope 3 emissions given the circumstances of the mine and the sufficient degree of evident causation between its Scope 3 emissions and adverse environmental impacts in New South Wales. It is not sufficient to simply raise the climate change issue in the EIA; the proponent of the project must attempt precise quantifications."
7032,"Greenpeace Australia Ltd v. Redbank Power Co. (Land and Environment Court of New South Wales, 1994)",Australia,AUS,Australia,[1994] 86 LGERA 143,Mitigation,Challenge to state council decision granting development consent for a power station,"","",Energy,Green Peace Asutralia Ltd|ngo,Redbank Power Company Pty Ltd|corporation,"",25/12/1994|Case opened,"An Australian state court upheld a state council decision granting development consent for the construction of a power station. Greenpeace asserted that air emissions from the power station would exacerbate the greenhouse effect. Applying the precautionary principle, Greenpeace argued that the court should refuse development consent for the project. The court held that although application of the precautionary principle dictates a cautious approach in determining whether or not development consent should be granted, the principle does not require that the greenhouse gas issue outweigh all other issues."
7033,"Ground Crew at Turramurra v. Ku-ring-gai Council (New South Wales Land and Environment Court, 2008)",Australia,AUS,Australia,[2008] NSWLEC 86,Adaptation,Appeal of denial of a planning permit due to risk of fire,"","",Disaster Risk Management (Drm),Ground Crew at Turramurra|corporation,Ku-ring-gai Council|government,"",25/12/2008|Case opened,"Applicant appealed the denial of a permit for a residential development due to risk of fire. In denying the permit, the local council cited climate change as one of the five issues contributing to the risk of fire. In dismissing the appeal, the court reported that it did not weigh increased risks of fire due to climate change heavily."
7034,"Haughton v. Minister for Department of Planning & Others (Land and Environment Court of New South Wales, 2011)",Australia,AUS,Australia,[2011] NSWLEC 217,Mitigation,Challenge to government approval of two coal-fired power plants,"","",Energy,Ned Haughton|individual,Minister for Planning|government,"",25/12/2011|Case opened,"Ned Haughton challenged the approval granted by the Minister for Planning for two coal-fired power plants.  The challenge was on the grounds that: (1) the Minister erroneously approved the plants on the basis that they were critical infrastructure projects; (2) the Minister had not fully considered the principles of ecologically sustainable development; and (3) the Minister had not considered the impact of the projects on climate change, which was required of him based on his duty to protect the public interest.  While the Court upheld the standing of Mr. Haughton to bring the case, it dismissed his substantive claims on the basis that the decisions had been made within the power given to the Minister under Part 3A of the Environmental Planning and Assessment  Act 1979 (NSW).  Justice Craig emphasized that he could not review the merits of the Minister's decision, and could only consider its legality.  He concluded that the statute allowed the Minister to weigh competing considerations as he saw fit when determining what was in the public interest."
7035,"Hunter Community Environment Centre Inc. v. Minister for Planning and Delta Electricity (Land and Environment Court of New South Wales, 2012)",Australia,AUS,Australia,[2012] NSWLEC 195,Mitigation,Challenge to government approval of coal-fired power plant,"",Protection of the Environment Act|,Energy,Hunter Community Environment Centre Inc|ngo,Minister for Planning and Delta Electricity|government,"",25/12/2012|Case opened,"Hunter Community Environment Centre Inc challenged the Minister for Planning's approval of the refurbishment of a coal-fired power plant proposed by Delta Electricity. While several grounds of appeal were raised in submissions by the applicant, only two were pursued during the hearing.  The first of these grounds for review was an alleged a failure to comply with s 75I(2)(g) of the Environmental Planning and Assessment Act 1979 (NSW) which requires the Director-General's report to the Minister to include a statement relating to compliance with environmental assessment requirements. Secondly, the Applicant alleged that the statement of compliance in that report was misleading in relation to fly ash disposal measures. The Court dismissed both alleged grounds of review. In relation to the first ground, the Court disagreed with the applicant's interpretation of the relevant statutory provision.  In relation to the second, the Court noted that the Minister had imposed a condition on the project relating to the disposal of fly ash and that his consideration of the issue had been sufficient."
7036,"Ironstone Community Action Group Inc. v. NSW Minister for Planning and Duralie Coal Pty. Ltd. (New South Wales Land and Environment Court, 2011)",Australia,AUS,Australia,[2011] NSWLEC 195,Mitigation,To challenge the approval of an extension to an existing coal mine.,"","",Energy,Ironstone Community Action Group Inc|ngo,NSW Minister for Planning|government,"",25/12/2011|Case opened,"Plaintiff challenged the extension of an existing coal mine due to its negative effects on biodiversity, water quality, threatened species, and health.  Specifically, the Giant Barred Frog, a threatened species, would be negatively impacted through habitat destruction and the mine's direct contribution to climate change. The Australia state court re-approved the extension, but under the condition that the defendant prepare and implement a Biodiversity Management Plan for the project."
7037,"Ison v. Richmond Valley Council (New South Wales Land and Environment Court, 2012)",Australia,AUS,Australia,[2012] NSWLEC 1167,Adaptation,To challenge rejection of planning permit,"","",Disaster Risk Management (Drm);Residential and Commercial,Ison|individual,Richmond Valley Council|government,"",25/12/2012|Case opened,"Applicant appealed the refusal of a planning permit for a development project. The Australian state court dismissed the appeal reasoning that the proposed development would not be consistent with the Richmond Valley Local Environmental Plan 2012 because it would not ensure adequate safety from flood risks. In accordance with the plan, flood levels were determined taking into account the effects of climate change."
7038,"Kala Developments Pty. Ltd. v. Surf Coast Shire Council (Victorian Civil and Administrative Tribunal, 2010 & 2011)",Australia,AUS,Australia,[2010] VCAT 2106; [2011] VCAT 513,Adaptation,Application to amend a coastal development permit to address the impacts of climate change,"","",Coastal zones;Residential and Commercial,Kala Developments Pty Ltd|corporation,Surface Coast Shire Council|government,"",25/12/2011|Case opened,"The Surf Coast Shire Council proposed to amend Kala Developments Pty Ltd's coastal development permit to better suit the impacts of climate change.  At the first mediation, both parties agreed that Kala Developments would complete a coastal hazard vulnerability assessment prior to further deliberation.  The Tribunal held that in the principles of natural justice required that the respondent and all objectors be given an opportunity to give their views on the proposed amendments, in the light of the information contained in the information contained in the coastal hazard vulnerability assessment.
 At a later hearing on the merits of the proposed amendments to the planning permit, the Tribunal found that the flood barrier system which the developer proposed to construct would be sufficient to address the risk of sea level rise at the site."
7039,"Kennedy (on behalf of Sandon Point Aboriginal Tent Embassy) v. Minister for Planning (NSW) (Land and Environment Court of New South Wales, 2010)",Australia,AUS,Australia,[2010] NSWLEC 129,Adaptation,Challenge to approval given by Minister for Planning for construction proposal on grounds that procedure did not follow Environmental Planning and Assessment Act,"","",Disaster Risk Management (Drm);Other,Kennedy (on behalf of Sandon Point Aborigal Tent Embassy)|ngo,Minister for Planning|government,"",25/12/2010|Case opened,"Roy ""Dootch"" Kennedy challenged the Minister for Planning's approval of Stockland's construction proposal. Kennedy objected to the Minister's approval on four grounds under the Environmental Planning and Assessment Act: (1) the approval for the proposal was outside the Minister's power because Stockland had made donations to the Labor Party of which the Minister was a member; (2) the rights and impacts on aboriginal people had not been sufficiently considered; (3) the assessment of the archaeological viability of the site was not adequate; and (4) potential flooding and extreme weather events caused by climate change had to be more thoroughly examined. The court held that all aspects of the Environmental Planning and Assessment Act had been upheld by the Minister in approving the proposal."
7040,"Lester v. Minister for Planning and Infrastructure (Land and Environment Court New South Wales, 2011)",Australia,AUS,Australia,[2011] NSWLEC 213,Mitigation,Challenge coal mining project,"","",Energy,Robert Lester|individual,Minister for Planning|government,"",25/12/2011|Case opened,"Applicant challenged the Planning Assessment Commission's approval of a coal mining project on a number of grounds under the Environmental Planning and Assessment Act 1979. The applicant alleged that the Commission's decision was unreasonable because it was based on erroneous calculations of greenhouse gas emissions submitted in the application. Finding that the application had no merit, the court dismissed the application and ordered the applicant to pay the respondents' costs."
7041,"McCulloch v. Bass Coast Shire Council (Victoria Civil and Administrative Tribunal, 2007)",Australia,AUS,Australia,[2007] VCAT 363,Adaptation,Challenge construction permit for levees.,"","",Coastal zones;Disaster Risk Management (Drm);Residential and Commercial,Ms J McCulloch and others|individual;South Gippsland Conservation Society|ngo,Bass Coast Shire Council|government,"",25/12/2007|Case opened,"Applicants challenged a permit in Australia state court for the development of levees and bunds to protect the coastal area from sea level rise. The applicants asserted that the proposal (1) would not benefit the public because the levees were being built to satisfy a condition to a permit for a proposed retirement village development; and (2) did not respect the value of the coastal environment. The court found the levees would benefit the public; however, it set aside the permit because the impacts on the dune system were not adequately considered and did not sufficiently address flood risks to outweigh those concerns."
7042,"Minister for Planning v. Walker (Court of Appeal of the Supreme Court of New South Wales, 2008)",Australia,AUS,Australia,[2008] 161 LGERA 423; [2008] NSWCA 334,Adaptation,Appeal of lower court rejection of state agency approval of a residential development project,"","",Residential and Commercial,Minister for Planning|government,Walker|individual,"",25/12/2008|Case opened,"The Minister for Planning approved a residential development project, and the respondent challenged the approval in the Land and Environment Court. The lower court found that the Minister erred in failure to apply ecologically sustainable development (ESD) principals when approving the project. The court held that the agency had an obligation under the Environmental Planning and Assessment Act 1979 to take into account the principle of ESD and the impact of the proposal upon the environment, including whether the flooding impacts of the project would be compounded by climate change. On appeal, the New South Wales Court of Appeal overturned the lower court's decision, holding that while the Environmental Planning and Assessment Act 1979 required the Minister to take into account the ""public interest,"" the Minister was under no obligation to consider ESD principles."
7044,"Myers v. South Gippsland Shire Council (No 2) (Victorian Civil and Administrative Tribunal, 2009)",Australia,AUS,Australia,[2009] VCAT 1022; [2009] VCAT 2414,Adaptation,Application for city council to reject coastal residential development plan based on negative climate change risk assessment,"","",Coastal zones;Residential and Commercial,Deborah Myers|individual,South Gippsland Shire Council|government,"",25/12/2009|Case opened,"Subsequent to the submission of the coastal hazard vulnerability assessment required by the Tribunal in Myers v. South Gippsland Shire Council (No 1), which revealed that the proposed coastal residential lot would be inundated by flooding and storm surges by 2100, the Tribunal concluded that permission could not be granted for the proposal without a proper local policy or scheme in place to address the predicted issues."
7045,"Newton and Anor v. Great Lakes Council (New South Wales Land and Environment Court, 2013)",Australia,AUS,Australia,[2013] NSWLEC 1248,Adaptation,Challenge to conditions of planning permit that imposed a time limit and structural requirements,"",Great Lakes Local Environmental Plan 1996|,Residential and Commercial,Newton and Anor|individual,Great Lakes Council|government,"",25/12/2013|Case opened,"A landowner challenged a local council decision to grant a planning permit to build a house on two conditions: (1) the development consent would only last for twenty years, and (2) the house must be designed to withstand 2033 sea level rise conditions. The Australian state court found in part for the landowner, rejecting the first condition but allowing the second. The court found the time limit imposed under the first condition was unreasonable, especially given the presence of the second condition."
7046,"Northcape Properties v. District Council of Yorke Peninsula (South Australian Supreme court, 2008)",Australia,AUS,Australia,[2008] SASC 57,Adaptation,Challenge to local council decision to refuse development consent,"","",Residential and Commercial,Northcape Properties|corporation,District Council of Yorke Peninsula|government,"",25/12/2008|Case opened,"The South Australian Supreme Court upheld local council decision to refuse development consent on the basis of unacceptable climate change risks to the proposed development.  The court found the proposed development in violation of the goals and objectives of the council's Development Plan, and that hazardous sea level rise over the next 100 years due to climate change was a sufficient basis to support the refusal of the coastal development application."
7047,"Nucifora v. Valuer-General, (Queensland Land Court 2013)",Australia,AUS,Australia,[2013] QLC 19,Adaptation,To challenge land valuation  that did not take into account the impacts of climate change.,"",Land Valuation Act|,Adaptation;Other,Salvatore and Albina Nucifora|individual,Valuer General|government,"",25/12/2013|Case opened,"Nucifora appealed a land valuation in an Australia state court asserting that the land was overvalued because it did not take into account permanent changes in weather patterns due to climate change. The judge dismissed the appeal, finding that Nucifora had failed show that the farm was permanently devalued as a result of climate change. In its reasoning, the court noted that ""climate change is ""still a subject of considerable public debate."""
7048,"Owen v. Casey City Council (Victorian Civil and Administrative Tribunal, 2009)",Australia,AUS,Australia,[2009] VCAT 1946,Adaptation,Application for city council to deny development in coastal area without climate change risk assessment,"",State Planning Policy Framework|;Victorian Coastal Strategy 2008|,Coastal zones;Residential and Commercial,Owen|individual,Casey City Council|government,"",25/12/2009|Case opened,"The Tribunal was asked to consider whether a coastal hazard vulnerability assessment was required before a development was approved by the Casey City Council. Drawing upon Ronchi v. Wellington Shire Council, the Tribunal held that the assessment was required."
7049,"Paul v. Goulburn  Murray Water Corporation & Others (Victorian Civil and Administrative Tribunal, 2010)",Australia,AUS,Australia,[2010] VCAT 1755,Adaptation,"Challenge to a water license on the basis that the allocation was unsustainable, particularly with regard to future climate change impacts on water levels","",Water Act 1989 (Victoria)|,Adaptation;Water,Mr John Paul|individual,Goulburn Murray Water Corporation|corporation,"",25/12/2010|Case opened,"This case concerned a challenge to a decision by a local water authority, the Goulburn Murray Water Corporation, in Victoria, Australia,  to issue two licenses under the Water Act 1989 (Vic) allowing the extraction of groundwater for use in irrigation on farms. The two permits at issue allowed the extraction of 490 and 594 ML (megaliters) per year respectively. Mr. Paul challenged the licenses on the grounds that the use of water would be unsustainable, particularly in light of the projected impacts of climate change and associated water shortages.  While the Tribunal noted that there was some uncertainty about the impacts of climate change, and that uncertainty may lead to the application of the precautionary principle, it found that on the technical evidence before it that the water use would be sustainable taking into account the range of estimates for the impact of climate change on water levels in the region."
7050,"Pepperwood Ridge Pty. Ltd. v. Newcastle City Council (Land and Environment Court of New South Wales, 2013)",Australia,AUS,Australia,[2009] NSWLEC 1046,Adaptation,Appeal the refusal of planning permit to construct senior living facility due to siting,"",State Environmental Planning Policy (Seniors' Living) 2004|,Buildings;Residential and Commercial,Pepperwood Ridge Pty Ltd|corporation,Newcastle City Council|government,"",25/12/2007|Case opened,"The Australian state court upheld an appeal against the refusal of a permit to construct a senior living facility. The local council denied the permit on the grounds that the proposed facility did not comply with the climate change principles designated in local planning documents because it was not sited in the northerly direction. The court disagreed with the local council, finding adequate design for climate, reasoning that non-compliance with orientation provisions did not necessarily warrant refusal of an application, especially where the natural topography did not justify such orientation."
7051,"Perry v. Hepburn Shire Council (Victorian Civil and Administrative Tribunal, 2007)",Australia,AUS,Australia,[2007] VCAT 1309,Mitigation,Challenge to council approval of a community owned wind farm,"","",Energy,"J Perry, Hepburn Shire Council Responsible Authority, Sustainability Victoria Referral Authority|individual;Sustainability Victoria Referral Authority|government",Hepburn Renewal Energy Association Inc.|corporation,"",25/12/2007|Case opened,"An Australian tribunal approved a proposal for a community owned wind farm. Among other grounds, local residents challenged that the wind energy generated from the project would not produce sufficient greenhouse gas benefits to justify the negative visual, environmental and amenity impacts of the turbines. The tribunal held that the proposal adequately considered the benefits to the broader community of renewable energy generation as well as the contribution of the project to reducing greenhouse gas emissions, and the probabilities weigh in favor of GHG abatement benefits being achieved."
7053,"Phosphate Resources Ltd v. The Commonwealth (Federal Court of Australia, 2004)",Australia,AUS,Australia,[2004] FCA 211,Mitigation,Challenge to Administrator of Christmas Island's determination of new electricity fees,"",Utilities and Services Ordinance|,Energy;Industry,Phosphate Resources Ltd|corporation,The Commonwealth of Australia First Respondent|government,"",25/12/2004|Case opened,"An Australian federal court upheld a Determination by the Administrator of Christmas Island setting the fees chargeable for use of electricity on the Island. Phosphate Resources, a major user of electricity on the Island challenged one of the purposes of the Determination – compelling large users of electricity such as Phosphate to examine alternative options for power generation as part of an effort to minimize greenhouse gas emissions. The court held that if the Administrator expressly took into account the reduction of GHG emissions as a factor in setting the electricity fees on the Island, it is a legitimate public policy objective."
7054,"Queensland Conservation Council Inc. v. Xstrata Coal (Queensland Court of Appeal, 2007)",Australia,AUS,Australia,[2007] QCA 338,Mitigation,Challenge to tribunal decision granting extension of a mining lease,"",Environmental Protection Act 1994 (Queensland)|,Industry,Queensland Conservation Council|government,Xstrata Coal|corporation,"",25/12/2007|Case opened,"An Australian state court reversed a lower tribunal's decision, which granted an extension to Xstrata's mining lease and denied Queensland Conservation Council (QCC) the ability to amend the conditions of the extension.  The tribunal, concluding that the causal link between the mine's greenhouse gas emissions and harms caused by global warming is an assumption, relied on evidence that was raised in neither Xstrata nor the QCC's case.  The court of appeals held that the tribunal, by merely informing the parties that it had become aware of documents which might be relevant to its decision, did not satisfy its obligation to afford the parties procedural fairness by giving them a real opportunity to present information or argument on a matter not already obvious but in fact regarded as important by the decision-maker."
7055,"Rainbow Shores P/L v. Gympie Regional Council & Others (Planning and Environment Court of Queensland, 2013)",Australia,AUS,Australia,[2013] QPEC 26,Adaptation,Appeal of denial of a planning permit,"",Queensland State Policy for Coastal Management|,Buildings;Residential and Commercial,Rainbow Shores P/L|corporation,Gympie Regional Council|government,"",25/12/2013|Case opened,"Applicant appealed denial of a planning permit for a proposed integrated resort and residential community. The proposal was challenged on a number of grounds including concerns about erosion and storm surges. The Australia state court dismissed the appeal, finding that the proposal did not adequately address  the site's increased vulnerability to erosion and storm surges as a result of sea level rise."
7056,"Re Australian Conservation Foundation v. Latrobe City Council (Victorian Civil and Administrative Tribunal, 2004)",Australia,AUS,Australia,[2004] 140 LGERA 100,Mitigation,Challenge to governmental panel refusal to consider the greenhouse gas impacts of burning coal,"","",Energy,Australian Conservation Foundation|ngo,Latrobe City Council|government,"",25/12/2004|Case opened,An Australian tribunal overturned the decision of a government panel which refused to consider the greenhouse gas impacts of burning coal. The Hazelwood coal-fired power station is one of the largest in the state of Victoria and a significant contributor to the State's GHG emissions. A government panel set up under the Victorian Planning and Environment Act 1987 and the Environmental Effects Act 1978 to consider the extension of the power station was instructed not to consider matters related to GHG emissions. The tribunal held that the assessment panel must consider the impacts of GHG emissions on the environment.
7057,"RES Southern Cross v. Minister for Planning (New South Wales Land and Environment Court, 2008)",Australia,AUS,Australia,[2008] NSWELC 1333,Mitigation,Challenge permit approval to allow modification of proposed wind farm,"","",Energy,RES Southern Cross|corporation,Minister for Planning|government,"",25/12/2008|Case opened,"After an initial challenge to development of a windfarm was rejected in Taralga Landscape Guardians Inc v Minister for Planning and RES Southern
Cross Pty Ltd, [2007] 161 LGERA 1, a number of individuals and a community association objected to RES Southern Cross's application to modify a proposed wind farm by raising turbines and installing aviation safety lighting. The challengers expressed concern over noise, visual impacts, biodiversity impacts, etc. In dismissing the challenge, the court asserted that the development was in the public interest due to the risks of climate change."
7058,"Rivers SOS Inc. v. Minister of Planning (Land and Environment Court, 2009)",Australia,AUS,Australia,[2009] NSWELC 213,Mitigation,Challenge to the Minister's decision approving a coal mine expansion,"","",Energy,Rivers SOS Inc|corporation,Minister of Planning|government,"",25/12/2009|Case opened,"In June 2009, New South Wales Planning Minister approved a $50 million expansion of the Metropolitan coal mine, allowing longwall mining to take place underneath the Woronora Reservoir.  The Minister approved a substantially revised version of the project at a late stage in the assessment process, without providing any further opportunities for public participation and agency involvement.  Rivers SOS, a community group, challenged the legality of the mining approval process.  On December 16, 2009, the Land and Environment Court upheld the decision of the Minister."
7059,"Ronchi v. Wellington Shire Council (Victorian Civil and Administrative Tribunal, 2009)",Australia,AUS,Australia,[2009] VCAT 1206,Adaptation,Application for city council to deny development in coastal area without climate change risk assessment,"",State Planning Policy Framework|;Victorian Coastal Strategy 2008|,Coastal zones;Disaster Risk Management (Drm);Residential and Commercial,Campbell J.|individual,Wellington Shire Council|government,"",25/12/2009|Case opened,"The Tribunal held that the proposed construction of two double-story dwellings in a coastal area placed too great an onus on the developers to prepare for the impacts of climate change.  Drawing upon the decision in Myers v. South Gippsland Shire Council (No 1), the Tribunal held that the applicant should instead prepare a coastal hazard vulnerability assessment prior to receiving approval."
7060,"S J Connelly v. Byron Shire Council (New South Wales Land and Environment Court, 2009)",Australia,AUS,Australia,[2009] NSWLEC 1068; [2009] NSWLEC 1242,Adaptation,Challenged the denial of a planning permit due to flood risks,"","",Disaster Risk Management (Drm),SJ Connelly|individual,Byron Shire Council|government,"",25/12/2009|Case opened,"The applicant challenged the denial of a permit for the construction of a residential development due to flood risks. In refusing the permit, the local council cited climate change considerations as one of the issues contributing to the risk of flooding.
Due to the uncertainty of climate change impacts, the court found it appropriate to take a ""cautious approach."" Finding the site unsuitable for the proposed development, the court dismissed the appeal.


Subsequent to the dismissal, the applicant revised its plans to address flood risk and improve maintenance of existing vegetation. The court found the revised proposal had adequately address these concerns and upheld the appeal."
7062,"Smith v. Pittwater Council (Land and Environment Court of New South Wales, 2013)",Australia,AUS,Australia,[2013] NSWLEC 1145,Adaptation,Appeal  the refusal of planning permit,"","",Disaster Risk Management (Drm),Smith|individual,Pittwater Council|government,"",25/12/2013|Case opened,"A landowner appealed a local council's refusal of a planning permit in Australian state court. The council had found that the proposed development would not ensure adequate safety from flood risks given increased flood levels from climate change. Allowing the use of more conservative risk estimates than those employed by the council, the court found that the risk was not sufficient to warrant rejection as long as the permit was subject to certain flood planning conditions."
7063,"Suburban Blue Print Pty. Ltd. v. Hobsons Bay City Council (Victorian Civil and Administrative Tribunal, 2010)",Australia,AUS,Australia,[2010] VCAT 1272,Adaptation,Seeks approval of building permit,"","",Buildings,Suburban Blue Print Pty Ltd|corporation,Hobsons Bay City Council|government,"",25/12/2010|Case opened,"Applicant challenged the denial of a construction permit for two dwellings in part because of vulnerability to inundation due to climate change and storm surges. The Australian state court granted the permit, reasoning that the proposed dwelling's ""almost-appropriate"" raised floor level was acceptable given the fact that a large number of homes in the community were likely to flood."
7064,"Taip v. East Gippsland Shire Council (Victorian Civil and Administrative Tribunal, 2010)",Australia,AUS,Australia,[2010] VCAT 1222,Adaptation,Application for city council to deny development in coastal area without climate change risk assessment,"",State Planning Policy Framework|;Victorian Coastal Strategy 2008|,Coastal zones;Residential and Commercial,Ms. Taip|individual,East Gippsland Shire Council|government,"",25/12/2010|Case opened,L. Taip challenged a housing development approved by the East Gippsland Shire Council on the grounds that it was not sufficiently planned to be resistant to climate change impacts. The Council argued that climate change impacts had been taken into consideration by proposing to raise the level of the development above the projected flood and sea levels that were expected to result from climate change. The Tribunal held that the response to address climate change impacts was not sufficient and that a more full and proper assessment of the risks and hazards needed to be conducted by the Council prior to giving approval.
7065,"Taralga Landscape Guardians Inc. v. Minister for Planning (Land and Environment Court of New South Wales, 2007)",Australia,AUS,Australia,[2007] 161 LGERA 1,Mitigation,Challenge to wind farm proposal,"",Ecologically Sustainable Development (ESD) principles|,Energy,Taralga Landscape Gaurdians Inc|corporation,Minister for Planning|government,"",25/12/2007|Case opened,"An Australian state court upheld a proposal for a wind farm, noting that the overall public benefits outweighed any private burdens. A community organization challenged the proposal, citing negative impacts on their village and the surrounding countryside. The court held that the concept of ecologically sustainable development, specifically intergenerational equity, is central to any decision-making process concerning the development of new energy resources. In this case, it is reasonable to substitute an energy source that results in less greenhouse gas emissions for energy sources that result in more GHG emissions."
7066,Tauschke v. East Gippsland Shire Council (Victorian Civil and Administrative Tribunal  VCAT 2231),Australia,AUS,Australia,[2009] VCAT 2177,Adaptation,Challenge to construction permit provision,"","",Coastal zones;Residential and Commercial,John Tauschke|individual,East Gippsland Shire Council|government,"",25/12/2009|Case opened,"Tauschke sought review in an Australian state court of a residential building permit that denied him the right to build on his coastal property because of sea level requirements and coastal hazard management considerations regarding coastal impacts of climate change. Based on expert testimony, the court found that the land could be developed in a manner that managed flood risks and amended the condition of the permit to provide for such requirements."
7067,"Terminals Pty. Ltd. v. Greater Geelong City Council (Victorian Civil and Administrative Tribunal, 2005)",Australia,AUS,Australia,[2005] VCAT 1988,Mitigation,Challenge to proposed alterations to an existing chemical storage facility,"",Air Quality Management State Environment Protection Policy SEPP|,Industry,Terminals Pty Ltd|corporation,Greater Geelong City Council|government,"",25/12/2005|Case opened,"Local residents challenged a permit application for alterations and additions to an existing chemical storage facility expressing concerns about greenhouse gas emissions among other issues, such as net community benefits, chronic health impacts, and design and monitoring. Finding the concerns unwarranted, the Australian state court denied the challenge. With respect to greenhouse gas emissions, the court found that there was no indication that the site would not be consistent with best practices."
7068,"Thornton v. Adelaide Hill Council (Environment, Resources and Development Court of South Australia, 2006)",Australia,AUS,Australia,[2006] 151 LGERA 1,Mitigation,Challenge to state council decision granting development consent for a coal-fired boiler,"","",Energy,Mr. Thornton|individual,Adelaide Hill Council|government,"",25/12/2006|Case opened,"An Australian state court upheld a council decision to grant Provisional Development Plan consent to a shed that would house a four megawatt capacity coal-fired boiler. Local landowners challenged the council's decision, asserting that the boiler will have detrimental impacts on the local environment by, among other grounds, releasing greenhouse gases. The court found no evidence in this case of a likely increase in GHG emissions by the proposed development compared with the existing operation. However, it did recognize that increasing GHG emissions may be inconsistent with the principles of ecological sustainable development, including the principles of intergenerational equity and the precautionary principle."
7069,"W & B Cabinets v. Casey City Council (Victoria Civil and Administrative Tribunal, 2009)",Australia,AUS,Australia,[2009] VCAT 1453,Adaptation,Sought construction permit,"","",Coastal zones;Residential and Commercial,W & B Cabinets|corporation,Casey City Council|government,"",25/12/2009|Case opened,"Applicant land developer challenged the local council's requirement that it conduct a full coastal hazard vulnerability assessment (CHVA) prior to approval of a planning permit in an Australia state court. Where a local water agency had advised that the development would be acceptable as long as floor levels were designed taking into account sea level rise, the court found that the city council could not require a CHVA prior to permit approval. However, the court denied the permit on other grounds."
7070,"Wade v. Warrnambool City Council & Anor (Victorian Civil and Administrative Tribunal, 2009)",Australia,AUS,Australia,[2009] VCAT 2177,Adaptation,Challenge to planning permit,"","",Coastal zones;Disaster Risk Management (Drm),Robert Wade|individual,Warnambool City Council|government,"",25/12/2009|Case opened,"Applicant challenged the issuance of a planning permit for a new dwelling near wetlands in an Australian state court. The court upheld the challenge stating that there had been insufficient consideration of flooding due to sea level rise; therefore, the permit was inconsistent with the local planning scheme."
7071,"West Gippsland Catchment Management Authority v. East Gippsland Shire Council (Victorian Civil and Administrative Tribunal, 2010)",Australia,AUS,Australia,[2010] VCAT 1334,Adaptation,Challenge to planning permit,"","",Disaster Risk Management (Drm);Residential and Commercial,West Gippsland Cathment Management Authority|government,East Gippsland Shire Council|government,"",25/12/2010|Case opened,"An Australia state court overturned approval for a planning permit primarily because it did not meet vehicle access requirements. The court also determined that the permit could not be granted because the proposal did not take into account increased flooding risks due to climate change. The court found that had the proposal met other requirements, a coastal hazard vulnerability assessment would be required prior to permit approval."
7072,"Wildlife Preservation Society of Queensland Proserpine/Whitsundry Branch Inc. v. Minister for the Environment & Heritage (Federal Court of Australia, 2006)",Australia,AUS,Australia,[2006] FCA 736,Mitigation,Challenge to federal agency failure to require an environmental impact assessment for a coal mine proposal,"","",Energy;Environment,"Wildlife Preservation Society of Queensland, Whitsundry Branch Inc.|corporation_ngo",Minister for the Environment & Heritage|government,"",25/12/2006|Case opened,"An Australian federal court upheld a federal agency decision to not require an environmental impact assessment (EIA) for a coal mine proposal under the Environmental Protection and Biodiversity Conservation Act 1999 (EPBC Act). Environmental groups argued that the burning of coal harvested from the mines would contribute to global warming, which could have substantial adverse impacts on the ecosystems of world heritage areas like the Great Barrier Reef, triggering the EIA requirement under the EPBC Act. The Court held that the greenhouse gas emissions from the mining and burning of coal had been considered by the agency in its decision not to require an environmental impact statement. The judge was not persuaded that there is a casual link between coal mining activities and damage to ecosystems."
